Track,Race Number,Participant Name,Fixed(W),Fixed(P),Market Price (%),Event Time
WARWICK (QLD),1,2. City United (2),21.00,4.20,4.76,Event Finished
WARWICK (QLD),1,3. Mishani Titanium (11),71.00,7.00,1.41,Event Finished
WARWICK (QLD),1,4. Pope Cody (4),6.00,2.05,16.67,Event Finished
WARWICK (QLD),1,5. Mishani Opal (12),23.00,4.40,4.35,Event Finished
WARWICK (QLD),1,6. Oohlalouvre (9),2.35,1.28,42.55,Event Finished
WARWICK (QLD),1,8. Leucaena (3),31.00,5.00,3.23,Event Finished
WARWICK (QLD),1,9. Octaboom (5),5.00,1.80,20.0,Event Finished
WARWICK (QLD),1,10. Sally Can't Dance (13),81.00,8.50,1.23,Event Finished
WARWICK (QLD),1,12. I'lltellyouso (6),14.00,3.50,7.14,Event Finished
WARWICK (QLD),1,13. Alpine Raider (14),41.00,6.00,2.44,Event Finished
WARWICK (QLD),1,14. Mishani Destiny (8),6.50,2.20,15.38,Event Finished
WARWICK (QLD),1,15. Zephyrz Zoom (10),19.00,4.00,5.26,Event Finished
