,Track Name,Track Links,Race Time,Race Number
0,BALLARAT SYNTHETIC (VIC),https://getsetbet.com.au//racing/gallops/ballarat-synthetic/race-1-2134832-1108187,Event Finished,1
1,BALLARAT SYNTHETIC (VIC),https://getsetbet.com.au//racing/gallops/ballarat-synthetic/race-2-2134835-1108187,Event Finished,2
2,BALLARAT SYNTHETIC (VIC),https://getsetbet.com.au//racing/gallops/ballarat-synthetic/race-3-2134840-1108187,Event Finished,3
3,BALLARAT SYNTHETIC (VIC),https://getsetbet.com.au//racing/gallops/ballarat-synthetic/race-4-2134845-1108187,Event Finished,4
4,BALLARAT SYNTHETIC (VIC),https://getsetbet.com.au//racing/gallops/ballarat-synthetic/race-5-2134848-1108187,Event Finished,5
5,BALLARAT SYNTHETIC (VIC),https://getsetbet.com.au//racing/gallops/ballarat-synthetic/race-6-2134854-1108187,Event Finished,6
6,BALLARAT SYNTHETIC (VIC),https://getsetbet.com.au//racing/gallops/ballarat-synthetic/race-7-2134859-1108187,Event Finished,7
7,BALLARAT SYNTHETIC (VIC),https://getsetbet.com.au//racing/gallops/ballarat-synthetic/race-8-2134865-1108187,Event Finished,8
8,WARWICK (QLD),https://getsetbet.com.au//racing/gallops/warwick/race-1-2134758-1108173,Event Finished,1
9,WARWICK (QLD),https://getsetbet.com.au//racing/gallops/warwick/race-2-2134759-1108173,Event Finished,2
10,WARWICK (QLD),https://getsetbet.com.au//racing/gallops/warwick/race-3-2134762-1108173,Event Finished,3
11,WARWICK (QLD),https://getsetbet.com.au//racing/gallops/warwick/race-4-2134764-1108173,Event Finished,4
12,WARWICK (QLD),https://getsetbet.com.au//racing/gallops/warwick/race-5-2134766-1108173,Event Finished,5
13,WARWICK (QLD),https://getsetbet.com.au//racing/gallops/warwick/race-6-2134769-1108173,Event Finished,6
14,WARWICK (QLD),https://getsetbet.com.au//racing/gallops/warwick/race-7-2134771-1108173,Event Finished,7
15,WARWICK (QLD),https://getsetbet.com.au//racing/gallops/warwick/race-8-2134773-1108173,Event Finished,8
